127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:30:45, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:30:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-24 11:30:47, GET, /plocme/default/index, HTTP/1.1, 200, 0.495000
127.0.0.1, 2016-07-24 11:30:47, GET, /plocme/static/css/default.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-24 11:30:47, GET, /plocme/static/css/jquery_ui.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-24 11:30:47, GET, /plocme/static/css/superfish.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-24 11:30:47, GET, /plocme/static/css/layout.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-24 11:30:47, GET, /plocme/static/images/logo_rede_cultural.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-24 11:30:47, GET, /plocme/static/scripts/superfish.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-07-24 11:30:47, GET, /plocme/static/scripts/common.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-24 11:30:47, GET, /plocme/static/images/mmenu_rep.gif, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-24 11:30:47, GET, /plocme/static/images/icons.png, HTTP/1.1, 200, 0.002000
000
127.0.0.1, 2016-07-24 11:30:47, GET, /plocme/static/images/footer.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-24 11:30:48, GET, /plocme/static/images/ui_bg_inset_hard_100_fcfdfd_1x100.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-24 11:30:48, GET, /plocme/static/images/shadow.png, HTTP/1.1, 404, 0.001000
01000
127.0.0.1, 2016-07-24 11:30:48, GET, /plocme/static/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-07-24 11:30:52, GET, /plocme/default/index, HTTP/1.1, 200, 0.033000
127.0.0.1, 2016-07-24 11:30:52, GET, /plocme/static/css/default.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:30:52, GET, /plocme/static/css/jquery_ui.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:52, GET, /plocme/static/css/superfish.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:52, GET, /plocme/static/css/layout.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:52, GET, /plocme/static/scripts/superfish.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:30:52, GET, /plocme/static/images/logo_rede_cultural.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:30:52, GET, /plocme/static/scripts/common.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-24 11:30:55, GET, /plocme/static/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-07-24 11:31:00, POST, /admin/default/site, HTTP/1.1, 200, 0.061000
127.0.0.1, 2016-07-24 11:31:01, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-24 11:31:01, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:31:01, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:31:01, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:31:01, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 304, 0.001000
01000
127.0.0.1, 2016-07-24 11:31:01, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-24 11:31:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-07-24 11:32:29, POST, /admin/default/site, HTTP/1.1, 200, 0.050000
127.0.0.1, 2016-07-24 11:32:29, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:32:29, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:32:29, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:32:29, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:32:29, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:32:29, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-24 11:32:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-07-24 11:32:40, POST, /admin/default/site, HTTP/1.1, 200, 0.089000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
P/1.1, 304, 0.002000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 304, 0.001000
01000
127.0.0.1, 2016-07-24 11:32:40, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-07-24 11:32:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-24 11:32:47, GET, /admin/default/cleanup/plocmegae, HTTP/1.1, 303, 0.040000
127.0.0.1, 2016-07-24 11:32:47, GET, /admin/default/site, HTTP/1.1, 200, 0.047000
127.0.0.1, 2016-07-24 11:32:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-24 11:32:56, GET, /plocmegae/default/index, HTTP/1.1, 500, 0.227000
127.0.0.1, 2016-07-24 11:32:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-24 11:32:58, GET, /admin/default/ticket/plocmegae/127.0.0.1.2016-07-24.11-32-55.8a70faf6-c194-45b9-a4b9-70d972a6a373, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-07-24 11:32:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-24 11:36:06, GET, /admin/default/site, HTTP/1.1, 200, 0.050000
127.0.0.1, 2016-07-24 11:36:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-07-24 11:36:08, GET, /plocme/default/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2016-07-24 11:36:09, GET, /plocme/static/images/shadow.png, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-07-24 11:36:09, GET, /plocme/static/images/arrows-ffffff.png, HTTP/1.1, 404, 0.000000
127.0.0.1, 2016-07-24 11:36:12, GET, /plocme/default/classification, HTTP/1.1, 200, 0.021000
127.0.0.1, 2016-07-24 11:36:14, GET, /plocme/default/bubbles, HTTP/1.1, 200, 0.018000
127.0.0.1, 2016-07-24 11:36:16, GET, /plocme/default/download, HTTP/1.1, 200, 0.067000
127.0.0.1, 2016-07-24 11:36:16, GET, /plocme/default/game, HTTP/1.1, 200, 0.067000
